MEM = MEAN
TIME = 130625/0000
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
65.60,19219.58,-61.76,-88.31,356.38,3.37,-0.00
60.76,19706.24,-64.00,-88.77,81.23,3.82,-0.00
56.59,20187.32,-63.72,-89.01,93.67,3.35,-0.00
52.31,20670.93,-59.33,-89.80,95.95,6.72,-0.00


MEM = 002
TIME = 130625/0000
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
972.04,-999.00,32.64,19.10,163.48,9.92,-999.00
970.57,344.31,32.48,17.73,173.69,8.96,-0.39
962.68,418.23,31.68,17.46,173.36,10.27,-0.38
952.09,518.89,30.66,17.25,172.71,10.86,-0.37
938.89,646.92,29.41,17.03,171.65,11.18,-0.35
922.62,807.63,27.84,16.71,170.06,11.45,-0.34
901.78,1011.41,25.82,16.25,167.81,11.70,-0.32
876.77,1260.38,23.12,16.74,163.43,12.22,-0.29
851.35,1515.43,19.46,18.60,161.47,12.18,-0.27
824.54,1758.01,18.28,12.13,182.39,9.00,-0.25
801.15,2005.99,19.53,1.61,210.25,8.50,-0.23
776.59,2260.58,19.65,-5.08,224.03,9.69,-0.20
745.05,2638.39,17.65,-7.79,229.24,11.61,-0.18
702.24,3135.42,14.68,-18.12,237.74,13.39,-0.15
662.40,3631.23,10.74,-17.01,252.65,12.16,-0.13
624.62,4125.14,6.50,-14.51,262.10,9.70,-0.11
588.08,4616.76,1.85,-12.80,263.18,7.11,-0.09
552.81,5105.97,-2.99,-11.77,241.37,6.68,-0.08
519.60,5593.57,-6.62,-12.45,228.59,8.76,-0.06
488.54,6080.90,-8.95,-19.74,232.63,10.10,-0.05
458.68,6568.02,-12.04,-30.66,235.75,11.26,-0.04
430.26,7054.11,-16.00,-33.58,230.26,11.85,-0.04
403.60,7538.52,-20.13,-31.23,233.36,12.86,-0.03
378.25,8021.06,-24.22,-31.35,248.46,15.42,-0.02
353.83,8502.04,-28.10,-38.50,245.06,18.18,-0.02
330.22,8982.29,-31.90,-44.82,233.03,20.76,-0.02
307.80,9462.87,-35.33,-47.23,227.78,21.33,-0.01
286.27,9944.64,-38.74,-49.78,228.27,19.55,-0.01
265.74,10427.81,-42.57,-53.44,236.38,17.97,-0.01
246.83,10911.57,-46.64,-58.54,252.09,16.74,-0.01
229.46,11394.72,-50.86,-61.85,261.06,18.22,-0.00
213.46,11876.20,-55.12,-64.41,260.84,20.75,-0.00
199.09,12356.42,-57.83,-67.35,266.76,21.76,-0.00
184.46,12836.92,-61.15,-70.35,267.50,16.51,-0.00
170.53,13320.01,-63.31,-71.25,248.48,12.39,-0.00
157.48,13809.54,-62.40,-70.73,238.06,15.09,-0.00
