MEM = MEAN
TIME = 130625/0000
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
778.69,2254.02,19.63,-15.63,217.77,14.00,-0.14
745.37,2630.56,18.12,-15.45,222.83,11.13,-0.41
703.01,3127.15,14.96,-14.49,245.12,9.56,0.06
662.61,3623.28,10.87,-9.77,262.37,9.20,1.38
624.11,4117.47,6.37,-13.95,255.55,8.26,2.03
587.47,4609.10,1.85,-12.98,235.70,7.95,1.50
552.57,5099.13,-2.05,-11.83,235.51,11.19,0.75
519.38,5588.10,-5.66,-15.19,244.44,14.09,0.73
487.85,6076.13,-8.94,-20.73,246.46,15.73,0.99
457.90,6563.47,-12.39,-25.04,249.56,15.82,1.07
429.45,7049.90,-16.19,-27.38,254.51,14.22,1.86
402.44,7534.90,-20.33,-31.44,256.54,14.12,4.31
376.81,8018.26,-24.28,-39.60,254.45,15.14,8.06
352.50,8501.09,-27.41,-43.30,248.56,15.63,11.03
329.46,8984.42,-30.55,-43.26,244.46,16.43,11.18
307.63,9467.82,-34.23,-44.75,247.13,16.68,9.12
286.95,9950.48,-38.23,-47.12,248.55,17.43,7.11
267.38,10431.99,-42.40,-50.85,247.66,18.91,6.43
248.88,10912.15,-46.62,-56.34,246.70,20.28,6.54
231.39,11391.69,-50.20,-60.79,249.38,21.67,5.67
214.87,11872.43,-52.85,-63.90,255.85,20.69,2.90
199.28,12355.53,-55.53,-66.53,268.62,16.64,-0.52
184.57,12842.93,-56.68,-68.19,277.55,16.06,-3.04
170.71,13338.25,-56.46,-69.22,273.86,17.94,-4.58
157.68,13841.15,-56.92,-71.17,268.22,19.98,-5.49
145.58,14345.25,-58.05,-73.79,268.25,21.24,-5.58
134.42,14846.00,-59.41,-76.97,272.98,21.57,-4.93
124.13,15343.45,-60.46,-81.25,278.46,19.28,-4.36
114.63,15838.28,-61.23,-87.59,281.13,14.81,-4.52
105.87,16329.42,-63.15,-92.83,284.01,9.93,-5.20
97.79,16813.36,-66.90,-89.94,289.31,5.46,-5.75
90.33,17289.44,-69.39,-86.79,303.77,3.21,-5.88
83.45,17763.58,-67.99,-85.98,47.49,3.39,-5.62
77.11,18241.75,-65.29,-86.30,61.73,8.01,-4.95
71.25,18724.94,-62.96,-87.00,56.88,9.41,-3.68
65.85,19211.63,-61.53,-87.97,58.80,7.54,-1.92
60.87,19699.72,-60.92,-88.90,94.58,4.25,-0.10
56.27,20187.82,-60.64,-89.49,141.36,5.69,1.04
52.03,20673.43,-62.14,-89.99,135.47,6.79,0.88


MEM = 008
TIME = 130625/0200
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
975.89,-999.00,28.16,18.78,167.97,5.73,-999.00
972.60,344.00,28.86,18.59,167.62,7.18,-0.38
964.65,417.36,29.33,18.27,171.76,11.47,-0.93
953.87,517.54,28.99,17.82,174.07,14.25,-1.88
940.30,645.15,28.04,17.34,175.78,15.74,-3.24
923.44,805.50,26.62,16.90,178.11,16.57,-5.12
902.40,1008.92,24.77,16.03,179.86,16.86,-7.32
877.18,1257.28,22.93,12.98,185.37,16.54,-9.24
851.90,1511.39,21.74,6.12,195.22,15.40,-10.77
828.41,1753.05,20.97,-1.22,205.02,13.38,-12.48
804.97,2000.34,20.27,-4.30,210.36,10.60,-13.74
781.56,2254.22,19.72,-4.92,215.36,7.72,-12.86
748.05,2632.24,18.74,-8.17,242.50,6.91,-8.45
705.46,3130.87,15.16,-5.08,263.19,8.33,-3.47
664.87,3628.35,11.09,-8.68,258.94,9.34,-1.18
626.24,4123.47,6.92,-13.48,244.72,8.90,-0.54
589.46,4616.38,2.41,-11.25,239.85,8.78,-0.90
554.44,5107.25,-1.94,-12.35,247.46,13.75,-3.03
521.14,5596.47,-5.53,-15.74,250.28,19.43,-5.37
489.49,6084.75,-8.96,-19.75,247.20,21.36,-5.47
459.42,6572.52,-12.20,-23.21,246.68,20.20,-4.00
430.85,7060.14,-15.45,-26.03,249.47,17.72,-3.32
403.73,7547.07,-19.34,-30.18,251.63,15.64,-4.48
378.00,8032.37,-23.61,-35.10,254.13,15.73,-6.35
353.61,8516.18,-27.45,-39.63,253.74,15.91,-7.49
330.48,8999.63,-30.71,-41.97,250.42,15.66,-8.27
308.57,9483.41,-33.98,-45.38,251.00,15.57,-9.32
287.82,9967.32,-37.53,-50.13,253.60,16.07,-9.47
268.18,10450.65,-41.59,-55.21,251.09,17.24,-7.81
249.61,10932.77,-45.84,-59.56,251.07,19.22,-5.78
232.05,11414.10,-49.62,-61.04,259.23,17.81,-5.19
215.47,11895.22,-53.43,-62.34,272.75,12.93,-5.84
199.82,12376.68,-56.84,-63.89,279.19,10.47,-6.45
185.05,12860.64,-58.85,-67.30,274.27,11.20,-6.22
171.14,13351.58,-58.59,-69.44,268.68,13.88,-5.18
158.07,13851.60,-57.78,-70.98,260.45,15.28,-4.13
145.93,14355.64,-57.78,-74.70,255.67,14.93,-3.52
134.73,14858.70,-58.27,-79.32,265.89,13.54,-3.04
124.39,15360.04,-58.90,-84.16,278.30,13.71,-2.52
114.86,15858.93,-59.98,-88.47,284.20,14.03,-2.38
106.07,16353.34,-62.31,-91.05,286.26,12.45,-3.00
97.95,16841.46,-64.92,-89.48,284.98,5.41,-4.07
90.47,17324.89,-65.88,-87.14,340.69,1.48,-4.84
83.57,17807.51,-65.09,-86.41,48.73,3.96,-4.81
77.20,18291.17,-64.42,-86.70,57.28,5.29,-3.94
71.33,18775.51,-63.90,-87.39,63.49,4.81,-2.45
65.91,19260.09,-63.55,-88.09,70.45,4.57,-0.81
60.91,19744.26,-63.52,-88.76,72.55,4.13,0.55
56.30,20228.09,-63.07,-89.59,86.39,3.50,1.13
52.04,20713.45,-61.34,-89.91,121.92,12.08,0.65


MEM = 009
TIME = 130625/0200
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
974.99,-999.00,27.26,16.63,179.93,5.33,-999.00
971.64,343.88,28.31,16.39,180.42,6.51,-0.25
963.69,416.96,28.79,16.10,179.83,10.55,-0.56
952.95,516.78,28.44,15.97,179.29,13.85,-1.07
939.40,644.00,27.57,15.78,179.27,15.95,-1.77
922.59,803.88,26.37,14.56,180.39,17.41,-2.46
901.61,1006.55,25.20,10.29,185.42,17.36,-2.83
876.50,1253.92,23.94,4.16,193.62,16.31,-3.29
851.31,1507.28,22.65,-3.55,201.21,15.15,-3.86
827.90,1748.41,21.40,-13.89,203.84,13.82,-3.79
804.53,1994.91,20.04,-17.57,205.23,12.29,-2.42
781.16,2247.74,19.41,-18.36,215.56,10.43,-0.08
747.73,2624.08,18.35,-26.19,240.44,9.82,3.11
705.24,3120.61,14.71,-12.30,258.14,9.43,6.40
664.68,3616.85,10.46,-6.27,267.96,9.22,8.36
626.03,4111.34,6.19,-10.58,261.43,8.92,8.28
589.25,4603.03,1.68,-14.93,252.92,9.84,5.39
554.27,5092.23,-2.43,-18.06,251.15,13.54,-0.30
521.01,5579.82,-6.15,-21.49,256.04,16.33,-7.17
489.38,6066.85,-9.22,-23.51,256.39,15.93,-13.26
459.32,6553.85,-12.53,-25.88,253.55,13.78,-17.38
430.77,7040.24,-16.27,-28.82,249.99,12.22,-18.96
403.66,7525.22,-20.46,-32.10,251.29,13.38,-18.53
377.94,8008.10,-24.95,-36.97,258.14,17.04,-17.31
353.55,8489.59,-28.45,-43.90,261.56,18.49,-15.28
330.43,8971.95,-30.72,-52.60,258.06,15.55,-12.27
308.52,9456.30,-33.30,-56.76,251.44,13.02,-9.75
287.78,9941.28,-37.09,-54.61,245.91,14.06,-8.72
268.14,10425.01,-41.64,-54.47,243.72,17.05,-8.25
249.58,10906.89,-46.06,-58.09,246.77,20.33,-7.41
232.03,11388.02,-49.61,-62.07,250.96,22.55,-6.31
215.45,11870.39,-52.31,-63.85,254.57,22.97,-5.46
199.80,12355.29,-54.85,-66.08,260.92,19.92,-4.72
185.04,12843.05,-57.46,-69.43,273.37,16.75,-3.27
171.13,13334.61,-59.41,-70.62,284.09,17.04,-0.86
158.06,13831.31,-59.80,-71.26,285.94,17.12,1.66
145.92,14331.19,-59.30,-73.84,284.19,14.99,3.36
134.72,14831.01,-59.51,-77.92,281.35,13.37,4.10
124.39,15329.29,-60.26,-83.17,277.12,13.57,4.08
114.86,15825.06,-61.28,-89.05,271.69,13.57,3.22
106.06,16317.49,-62.69,-89.69,267.95,10.78,1.42
97.95,16805.25,-64.84,-87.20,257.85,5.19,-0.86
90.47,17288.81,-65.82,-85.95,258.75,2.81,-2.81
83.57,17772.22,-64.45,-85.87,288.71,2.57,-3.83
77.20,18258.59,-62.70,-86.67,326.73,1.51,-3.78
71.33,18747.88,-61.32,-87.76,35.48,0.89,-2.87
65.91,19240.64,-59.01,-88.61,58.43,2.41,-1.55
60.91,19737.05,-57.43,-89.14,58.83,4.78,-0.39
56.30,20234.18,-57.59,-89.43,68.52,7.18,0.16
52.04,20728.76,-58.77,-89.55,82.77,12.49,0.02


MEM = 010
TIME = 130625/0200
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
973.24,-999.00,27.40,17.39,174.15,4.76,-999.00
969.80,343.91,28.47,17.14,172.28,5.99,-0.04
961.87,417.03,28.91,16.74,174.37,9.83,0.05
951.15,516.87,28.57,16.21,174.98,13.05,-0.02
937.62,644.06,27.68,15.66,175.61,14.87,-0.12
920.84,803.88,26.29,15.11,176.81,16.11,-0.36
899.89,1006.61,24.46,14.09,178.08,16.84,-0.81
874.78,1254.11,22.67,10.50,183.65,16.48,-1.22
849.59,1507.43,21.30,4.52,192.97,15.29,-1.64
826.19,1748.35,20.30,-3.34,204.59,14.58,-2.67
802.85,1994.44,19.42,-15.33,214.23,14.56,-4.22
779.57,2246.16,18.06,-29.33,215.30,14.61,-5.37
746.23,2620.94,17.33,-17.34,224.63,11.48,-5.41
703.80,3117.05,14.45,-4.57,249.22,9.90,-5.53
663.26,3614.23,10.32,-0.03,266.99,10.47,-6.71
624.63,4110.21,6.11,-1.83,271.37,9.69,-7.24
587.87,4603.42,1.77,-7.41,262.71,8.81,-6.05
552.95,5093.85,-2.08,-13.54,250.41,8.29,-5.27
519.75,5582.56,-5.67,-17.91,249.81,10.55,-7.70
488.20,6070.09,-9.36,-20.95,249.90,14.24,-13.13
458.22,6556.72,-12.95,-22.17,251.97,15.58,-18.45
429.73,7042.75,-16.49,-23.23,254.81,14.01,-21.48
402.69,7527.89,-20.33,-26.88,255.35,13.25,-22.69
377.04,8011.66,-24.25,-33.88,255.62,14.75,-22.86
352.72,8494.55,-27.66,-41.30,256.30,15.90,-21.88
329.66,8977.66,-30.66,-45.24,255.84,15.42,-20.10
307.82,9461.32,-33.96,-46.92,254.61,14.91,-18.74
287.13,9944.79,-37.81,-48.57,252.62,16.25,-18.29
267.56,10427.37,-41.87,-52.37,250.36,18.70,-18.27
249.04,10909.26,-45.61,-56.99,251.61,20.57,-18.20
231.54,11391.63,-48.68,-60.09,256.73,21.77,-18.17
215.01,11875.61,-51.50,-62.11,261.68,21.79,-18.60
199.40,12361.06,-54.87,-63.35,268.59,19.77,-19.18
184.69,12847.15,-58.61,-64.89,278.05,18.45,-18.74
170.81,13334.49,-61.61,-68.12,285.42,18.97,-16.71
157.78,13824.67,-62.83,-69.42,288.64,15.92,-13.60
145.68,14317.40,-61.99,-72.13,278.01,13.15,-10.27
134.50,14811.80,-61.02,-77.64,270.90,13.56,-7.42
124.20,15307.01,-60.90,-84.65,275.80,14.07,-5.40
114.69,15801.02,-61.62,-89.66,281.77,11.50,-4.41
105.92,16291.99,-63.06,-89.19,292.32,5.70,-4.11
97.83,16778.20,-65.22,-87.80,3.92,1.34,-3.62
90.37,17260.47,-65.93,-87.21,351.42,3.43,-2.48
83.48,17743.10,-64.34,-87.13,337.69,7.56,-0.95
77.13,18230.15,-61.50,-87.43,343.66,8.87,0.44
71.27,18722.02,-59.50,-88.03,6.45,8.16,1.34
65.87,19215.76,-59.15,-88.67,29.57,5.47,1.55
60.88,19709.07,-59.07,-89.02,121.69,1.97,1.24
56.28,20202.62,-58.06,-89.15,129.89,4.50,0.80
52.04,20697.01,-57.41,-89.12,112.88,10.47,0.42


MEM = 011
TIME = 130625/0200
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
969.18,-999.00,27.39,18.41,172.52,6.09,-999.00
965.72,343.90,27.97,18.22,171.21,7.11,-0.11
957.84,417.00,28.36,17.71,172.27,11.10,-0.01
947.15,516.78,28.00,17.05,172.70,13.96,0.05
933.69,643.86,27.07,16.45,173.54,15.53,0.12
916.97,803.51,25.68,15.85,176.25,16.40,-0.03
896.09,1006.02,23.95,14.46,180.13,16.53,-0.40
871.07,1253.35,22.15,11.83,187.79,16.42,-0.32
845.96,1506.68,20.59,8.02,197.21,15.93,0.70
822.63,1747.63,20.30,-4.22,208.47,15.52,1.75
799.41,1993.95,20.19,-18.49,214.05,14.79,2.07
776.21,2246.97,19.96,-17.23,215.90,13.03,2.45
742.98,2624.10,18.66,-14.26,225.21,10.62,4.29
700.75,3121.66,15.27,-11.17,243.63,8.85,7.92
660.48,3618.11,10.91,-11.76,252.80,8.38,12.35
622.12,4112.09,6.21,-12.74,251.69,8.52,15.31
585.60,4603.60,1.88,-13.44,250.75,10.22,14.14
550.84,5093.17,-2.14,-15.69,251.44,13.80,9.10
517.79,5580.93,-6.16,-19.44,250.68,16.17,4.06
486.38,6067.12,-9.93,-22.48,249.02,17.36,2.14
456.52,6552.29,-13.54,-23.85,250.92,16.99,2.83
428.16,7036.82,-16.99,-26.45,254.49,15.68,3.63
401.24,7520.58,-20.69,-31.46,258.37,15.23,3.27
375.70,8003.18,-24.55,-38.37,261.37,15.78,2.59
351.48,8484.88,-28.13,-44.28,262.06,16.32,2.78
328.51,8966.43,-31.40,-45.02,259.52,16.39,3.80
306.75,9448.27,-34.71,-45.08,253.62,15.95,5.11
286.15,9930.08,-38.34,-48.44,247.19,16.60,6.48
266.65,10411.31,-42.27,-55.31,245.65,18.76,7.55
248.21,10892.09,-45.86,-59.44,247.78,20.15,7.68
230.78,11373.72,-48.71,-60.02,251.75,20.10,6.41
214.31,11857.05,-51.65,-62.13,257.48,18.74,3.97
198.77,12341.84,-54.88,-66.14,268.55,16.62,1.67
184.11,12828.43,-57.68,-70.03,281.99,16.06,0.64
170.30,13318.80,-59.39,-71.78,285.52,15.21,0.51
157.32,13814.58,-59.71,-72.31,279.04,13.08,0.11
145.26,14312.78,-59.85,-74.57,279.25,9.85,-0.97
134.14,14809.41,-60.65,-78.81,287.72,7.72,-2.22
123.88,15303.30,-61.74,-84.55,288.16,8.09,-3.18
114.41,15794.16,-62.78,-89.94,282.27,10.21,-4.02
105.68,16282.34,-63.52,-90.56,283.97,10.90,-5.11
97.62,16768.74,-63.75,-87.86,299.49,6.50,-6.04
90.19,17253.43,-64.40,-86.43,359.61,4.30,-5.77
83.34,17737.39,-63.73,-85.98,359.20,5.11,-4.14
77.01,18224.04,-61.37,-86.15,320.15,3.64,-2.47
71.18,18715.69,-58.62,-86.98,214.74,2.01,-1.85
65.80,19210.89,-57.44,-88.13,139.64,3.57,-1.97
60.83,19705.84,-57.92,-89.08,87.22,5.46,-1.97
56.25,20197.56,-59.27,-89.41,68.31,10.71,-1.34
52.03,20684.77,-60.80,-89.24,78.58,17.21,-0.12


MEM = 012
TIME = 130625/0200
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
971.00,-999.00,27.90,19.76,175.59,6.04,-999.00
967.66,344.02,28.48,19.58,176.78,7.04,-0.22
959.71,417.36,28.67,19.02,175.07,10.96,-0.39
949.01,517.44,28.27,18.29,174.36,13.67,-0.69
935.49,644.87,27.32,17.67,174.67,15.14,-0.85
918.72,804.95,25.96,16.98,176.27,16.09,-0.69
897.78,1007.99,24.20,15.66,179.35,16.18,-0.77
872.70,1255.84,22.62,11.65,185.89,15.85,-1.47
847.57,1509.46,21.76,3.24,193.84,14.66,-2.15
824.23,1750.69,21.05,-6.86,200.07,12.71,-2.70
800.95,1997.39,20.32,-14.95,206.17,11.54,-3.00
777.70,2250.61,19.76,-13.21,213.91,10.81,-2.65
744.40,2627.56,18.55,-18.15,231.18,10.58,-1.49
702.11,3124.34,15.10,-18.96,240.79,10.34,0.21
661.80,3619.74,10.78,-19.03,241.13,9.68,1.64
623.39,4113.03,6.27,-16.55,240.42,8.34,1.39
586.80,4604.47,2.03,-14.37,244.29,9.05,-2.50
551.97,5094.21,-2.07,-15.87,254.24,13.46,-9.37
518.85,5582.32,-5.90,-19.20,248.73,15.98,-14.67
487.36,6069.35,-9.38,-21.79,243.65,17.21,-15.58
457.44,6555.74,-12.97,-21.86,244.85,15.09,-13.97
429.02,7041.17,-16.87,-24.26,252.71,11.09,-11.95
402.03,7525.04,-21.02,-27.44,252.32,10.88,-9.63
376.42,8007.06,-25.27,-29.19,247.59,13.47,-7.20
352.13,8487.71,-29.00,-33.31,248.69,15.80,-5.70
329.11,8968.08,-32.09,-41.21,250.03,15.56,-5.54
307.30,9448.95,-35.14,-51.26,250.91,14.52,-6.01
286.65,9930.27,-38.49,-56.07,251.70,14.37,-5.99
267.12,10411.32,-42.43,-54.53,251.81,15.51,-4.82
248.63,10891.42,-46.54,-56.76,252.73,17.54,-3.08
231.17,11371.78,-49.42,-61.63,260.11,19.39,-1.88
214.67,11854.68,-51.54,-64.68,269.28,20.19,-1.48
199.10,12340.12,-54.60,-66.78,275.90,18.53,-1.58
184.41,12826.53,-58.34,-68.31,283.96,16.13,-1.76
170.57,13314.07,-61.44,-69.03,284.94,16.34,-1.89
157.56,13803.89,-63.04,-69.97,276.83,18.61,-2.37
145.48,14294.43,-63.36,-71.72,264.57,19.62,-3.58
134.33,14784.15,-63.36,-74.86,257.60,18.91,-5.15
124.05,15273.73,-63.06,-79.71,258.69,16.82,-6.28
114.56,15763.63,-62.64,-86.86,262.81,13.30,-6.79
105.81,16253.67,-62.44,-87.49,260.20,7.38,-6.98
97.74,16744.46,-61.47,-84.69,243.56,1.63,-6.95
90.29,17238.87,-58.75,-84.40,51.30,2.93,-6.50
83.42,17737.69,-57.05,-85.47,43.26,6.02,-5.79
77.08,18236.82,-57.80,-86.52,29.43,6.13,-4.99
71.23,18732.60,-59.22,-87.37,3.15,3.90,-4.11
65.83,19224.94,-59.99,-88.39,309.80,2.34,-3.15
60.86,19715.19,-60.20,-89.22,225.98,2.12,-2.25
56.27,20203.71,-60.57,-89.49,167.74,5.62,-1.33
52.03,20690.88,-60.38,-89.41,141.74,10.76,-0.15


MEM = 013
TIME = 130625/0200
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
971.26,-999.00,27.39,17.71,166.91,4.97,-999.00
967.98,343.88,28.16,17.50,164.90,6.07,-0.15
960.07,416.96,28.69,17.27,168.75,10.18,-0.02
949.33,516.80,28.34,17.05,172.23,12.73,0.29
935.84,643.99,27.39,16.72,175.17,14.14,0.70
919.08,803.85,26.01,16.27,178.83,15.07,1.01
898.15,1006.69,24.15,15.74,182.69,15.49,1.18
873.03,1254.57,21.91,14.84,188.01,15.85,1.40
847.82,1508.41,20.25,11.04,196.52,15.84,2.07
824.40,1749.82,19.97,2.44,207.03,15.04,3.09
801.08,1996.89,20.29,-4.99,217.10,13.73,4.08
777.79,2250.75,20.44,-11.50,224.78,12.46,4.90
744.49,2628.39,18.86,-14.41,229.14,11.41,5.87
702.18,3125.94,15.18,-12.13,239.50,9.96,6.96
661.83,3622.33,10.80,-9.34,250.84,8.30,8.21
623.37,4116.61,6.18,-9.70,253.18,7.70,9.05
586.76,4608.38,1.84,-12.51,257.37,11.03,7.15
551.93,5097.83,-2.27,-16.49,259.45,16.68,1.99
518.82,5585.28,-6.32,-19.55,257.85,19.28,-3.68
487.34,6071.28,-10.00,-21.76,255.84,19.90,-7.32
457.42,6556.74,-13.23,-23.20,257.45,17.27,-8.47
429.00,7042.02,-16.60,-25.54,259.82,13.92,-7.84
402.02,7526.26,-20.69,-30.50,257.37,14.64,-6.46
376.42,8008.82,-24.66,-38.75,254.17,16.28,-4.82
352.14,8490.82,-27.77,-42.48,252.82,16.54,-2.98
329.13,8973.69,-30.53,-41.82,250.80,17.47,-1.13
307.32,9457.43,-33.77,-44.86,247.66,19.54,0.50
286.68,9940.94,-37.68,-50.43,247.85,20.94,1.87
267.13,10423.33,-41.87,-54.70,251.80,20.90,3.00
248.65,10904.54,-45.94,-57.35,256.91,20.19,3.88
231.19,11385.60,-49.27,-60.23,260.05,19.10,4.09
214.69,11868.29,-51.79,-64.05,268.49,15.95,3.48
199.11,12353.54,-54.44,-67.51,289.53,15.07,3.03
184.42,12840.86,-57.61,-68.46,293.13,15.24,3.33
170.57,13331.67,-59.24,-69.35,278.51,14.22,3.82
157.56,13828.20,-59.40,-71.75,261.78,16.48,3.86
145.48,14327.06,-59.80,-74.99,258.47,17.19,3.23
134.33,14824.82,-59.95,-79.37,266.73,14.67,2.22
124.05,15321.63,-60.20,-86.01,278.39,11.65,1.27
114.56,15816.55,-61.12,-91.17,289.41,8.55,0.43
105.81,16307.46,-63.16,-88.35,310.07,4.43,-0.37
97.73,16792.04,-66.05,-86.30,8.44,2.77,-0.81
90.28,17271.01,-67.44,-85.57,0.87,4.78,-0.52
83.41,17748.84,-66.43,-85.72,338.64,6.90,0.33
77.07,18229.53,-64.31,-86.28,329.11,6.84,1.10
71.23,18713.28,-63.07,-87.05,327.24,4.29,1.19
65.83,19198.50,-62.26,-87.95,353.93,1.04,0.62
60.86,19685.14,-60.99,-88.91,121.31,3.16,-0.13
56.27,20173.58,-59.78,-89.53,110.67,7.81,-0.55
52.03,20664.08,-58.19,-89.62,121.23,17.20,-0.44


MEM = 014
TIME = 130625/0200
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
973.57,-999.00,27.54,18.79,163.97,4.53,-999.00
970.22,343.97,28.46,18.57,160.41,5.51,0.06
962.28,417.23,28.92,18.21,167.18,9.04,0.72
951.54,517.27,28.52,17.68,171.13,11.59,1.52
937.99,644.67,27.60,17.03,173.98,13.18,2.28
921.20,804.73,26.25,16.32,177.56,14.18,2.99
900.21,1007.79,24.43,15.46,181.34,14.62,3.68
875.04,1255.83,22.40,13.59,187.05,14.87,4.87
849.79,1509.84,20.67,10.21,197.32,14.84,6.66
826.33,1751.31,20.02,1.25,209.29,15.27,7.92
802.96,1997.89,19.88,-13.67,213.98,14.24,7.42
779.65,2250.35,19.01,-27.87,212.81,11.58,5.73
746.30,2625.64,17.56,-24.21,217.86,9.02,4.37
703.90,3121.02,14.56,-16.16,232.90,8.93,4.04
663.47,3616.59,10.88,-11.76,250.49,9.23,4.66
624.93,4111.09,6.59,-10.80,263.21,8.84,6.01
588.22,4603.40,1.97,-11.43,267.48,7.49,7.54
553.29,5093.30,-2.37,-13.05,263.03,7.31,7.60
520.07,5581.24,-6.24,-16.94,255.04,12.66,5.30
488.50,6067.79,-9.85,-20.87,246.98,17.76,1.97
458.50,6553.30,-13.53,-23.03,244.26,20.36,-0.80
430.00,7038.10,-17.04,-24.15,246.21,19.75,-2.60
402.94,7522.47,-20.52,-25.64,249.62,17.40,-3.37
377.27,8005.98,-24.46,-28.43,253.45,16.11,-3.17
352.92,8488.11,-28.44,-33.47,255.28,17.02,-2.47
329.84,8969.60,-31.68,-39.53,253.14,18.43,-1.93
307.98,9451.62,-34.62,-44.13,249.06,19.05,-1.84
287.28,9934.19,-38.04,-47.65,245.32,19.52,-1.90
267.69,10416.32,-42.07,-51.86,243.64,20.09,-1.84
249.16,10897.29,-46.28,-56.49,244.20,20.43,-1.77
231.65,11377.71,-49.81,-60.49,246.24,20.60,-1.98
215.10,11859.51,-52.36,-63.84,252.07,18.11,-2.51
199.49,12343.71,-55.15,-66.01,265.64,13.41,-2.75
184.76,12831.13,-57.16,-67.25,262.88,11.92,-2.00
170.88,13325.13,-57.28,-69.14,256.25,14.42,-0.53
157.84,13827.31,-56.88,-72.01,254.57,16.27,0.63
145.72,14332.97,-56.91,-75.74,261.28,16.36,0.87
134.55,14837.48,-57.50,-81.04,274.05,16.76,0.18
124.23,15339.41,-58.73,-86.93,282.18,16.92,-1.16
114.72,15837.47,-60.39,-94.16,286.40,15.24,-2.81
105.95,16331.00,-62.17,-96.78,291.57,12.13,-4.49
97.85,16819.47,-64.25,-93.01,298.38,7.68,-5.61
90.39,17301.50,-67.20,-90.91,319.77,3.89,-5.44
83.50,17778.69,-67.87,-89.58,318.14,4.60,-4.15
77.14,18258.17,-64.62,-88.53,303.14,6.13,-2.99
71.28,18745.05,-60.82,-88.17,292.99,6.09,-2.84
65.87,19237.42,-59.16,-88.62,281.57,3.98,-3.39
60.88,19731.48,-58.56,-89.23,1.62,0.82,-3.67
56.28,20223.64,-59.96,-89.66,42.66,8.31,-2.94
52.04,20710.13,-62.56,-89.90,67.43,12.79,-1.11


MEM = 015
TIME = 130625/0200
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
971.49,-999.00,27.72,18.24,168.75,5.53,-999.00
968.19,343.94,28.43,18.04,168.35,6.88,-0.39
960.25,417.11,28.72,17.80,171.88,10.75,-0.75
949.54,517.03,28.36,17.45,174.44,13.86,-1.32
936.03,644.33,27.44,17.09,176.23,15.60,-2.31
919.26,804.31,26.05,16.66,179.76,16.70,-4.02
898.32,1007.32,24.24,15.93,183.27,17.24,-6.44
873.20,1255.33,22.30,13.94,190.26,17.17,-8.84
848.04,1509.22,21.33,6.95,203.35,17.11,-10.04
824.67,1750.53,20.98,-6.00,214.76,16.60,-10.64
801.36,1997.13,20.05,-12.15,219.20,14.91,-11.85
778.07,2250.06,18.94,-8.40,221.38,13.08,-12.63
744.74,2626.50,17.75,-10.13,229.37,11.16,-11.47
702.41,3122.91,14.77,-14.18,240.77,9.97,-8.48
662.05,3618.84,10.90,-10.10,254.72,9.97,-4.42
623.60,4113.41,6.70,-12.04,255.99,9.81,0.02
586.98,4605.72,2.24,-13.45,250.81,9.46,3.74
552.14,5095.75,-2.16,-13.56,252.25,11.49,5.35
518.99,5583.81,-6.22,-15.88,252.48,15.60,4.28
487.48,6070.52,-9.72,-19.76,247.27,18.53,1.68
457.54,6556.61,-13.01,-22.84,246.72,18.08,0.04
429.11,7042.42,-16.32,-25.26,251.78,14.51,1.13
402.12,7527.67,-19.99,-29.35,257.17,12.65,4.17
376.51,8011.87,-23.78,-37.05,257.15,14.27,7.34
352.23,8495.27,-27.26,-46.57,257.05,15.75,9.88
329.21,8978.61,-30.52,-51.06,254.59,15.63,11.59
307.39,9462.04,-34.02,-52.25,249.31,15.49,12.20
286.74,9945.04,-37.91,-53.86,245.90,16.90,12.03
267.19,10427.07,-42.04,-56.41,244.90,19.66,11.96
248.70,10908.12,-45.99,-59.24,245.40,21.91,12.24
231.23,11389.52,-48.97,-61.39,247.68,22.16,11.84
214.72,11873.34,-51.13,-63.67,254.85,19.59,9.58
199.14,12360.53,-53.43,-66.43,274.33,16.31,5.53
184.44,12850.38,-56.46,-67.81,287.98,17.48,0.70
170.59,13342.44,-59.39,-68.57,285.25,17.61,-3.53
